DATE,TITLE,MAIN_NEWS,SOURCE_URL
"२०७७ साउन ७, ०६:०२",कञ्चनपुरका संस्थागत शिक्षक आन्दोलित ,"<strong>कञ्चनपुर:</strong> संस्थागत विद्यालयले लकडाउन अवधिको शुल्क लिने तर शिक्षक कर्मचारीलाई तलब नदिने भएपछि संस्थागत विद्यालय शिक्षक युनियन आन्दोलनमा उत्रिएको छ। संस्थागत विद्यालय शिक्षक युनियनले शिक्षा विकास तथा समन्वय इकाई कञ्चनपुरमा धर्ना दिएको छ। शिक्षक, कर्मचारीलाई असार महिनासम्मको तलब दिनुपर्ने, शिक्षक, कर्मचारीलाई सेवाबाट हटाउने कार्य बन्द गर्नुपर्ने र शिक्षक, कर्मचारीले अहिलेसम्म खादै आएको सेवा सुविधा कटौती नगरी उपलब्ध गराउनुपर्ने माग गर्दै एक घण्टा धर्ना दिएको युनियनका अध्यक्ष धनन्जय जोशीले बताए। ",https://dineshkhabar.com/article/33268
"२०७७ साउन ५, ०६:०८",कञ्चनपुरमा उपभोक्ता समितिको मनपरी भएपछि स्थानीयद्वारा वडा कार्यालय घेराउ ,"<strong>धनगढी:</strong> कञ्चनपुरमा गत आर्थिक वर्षको विकास निर्माणका योजना कार्यान्वयन गर्दा उपभोक्ता समितिले मनपरी गरेको आरोप लागेको छ। जिल्लाको कृष्णपुर नगरपालिकाका अधिकांश वडाहरुमा आर्थिक वर्षको अन्त्यमा फर्जी उपभोक्ता समिति गठनगरी मनपरी काम गरेर भुक्तानी लिएको स्थानीयको आरोप छ। उपभोत्ता समिति, कर्मचारी तथा स्थानीय जनप्रतिनिधीको मिलोमतोमा विकास निर्माणका योजनाहरुमा झारोटार्ने काम भएको स्थानीयले बताएका छन्। सडक ग्राबेलका योजनामा काम नगरी भुक्तानी दिएको स्थानीय गणेश बहादुर ऐरले बताए। ‘उपभोक्ता समिति, प्रविधिक तथा स्थानीय जनप्रतिनिधीको मिलेमतोमा विकास निर्माणका योजनाहरु कार्यान्वयन भएका छन्’ उनले भने, ‘अधिकांश योजनाहरुमा झारोटार्ने काम भएको छ।’ कृष्णपुर नगरपालिकाको वडा ७ र ८ मा भने यो समस्या बढी देखिएको छ। ४/५ योजनाका लागि एकै जनालाई उपभोक्ता समितिको अध्यक्ष बनाई राज्यकोषको दुरुपयोग भइरहेको स्थानीयले बताएका छन्। असारको अन्त्यमा आएर स्थनीयलाई खबर नै नगरी जनप्रतिनिधी निकटका व्यक्तिलाई उपभोक्ता समितिमा राखेर आर्थिक अनियमिता गरेको अर्का स्थानीय अमरबहादुर विष्टले बताए। ‘असारको अन्त्यमास्थनीयलाई खबर नै नगरी जनप्रतिनिधी निकटका व्यक्तिलाई उपभोक्ता समितिमा राखिएको रहेछ’ उनले भने, ‘स्थानीय सडकमा एक÷दुई टिप्पर ग्राबेल हालेपछि मात्रै हामीलाई थाहा भयो।’ सो विषयमा थप बुझ्न खोज्दा एक लाखका योजनामा पनि दुईदेखि चार टिप्पर मात्रै ग्रबेल हालेको देखिएको विष्टले बताए। कृष्णपुरको वडा नम्बर ७ र ८ मा पर्ने साना योजनाहरुमा जनप्रतिनिधी र प्रविधिक कर्मचारीको मिलेमतोमा लाखौं खर्च लाग्ने भएपनि थोरै बजेटमा काम गरेजस्तो देखाएर बजेटको दुरुपयोग गरेको देखिएको छ। टेकबहादुर विष्टको घरसम्मको बाटोमा ग्राबेल हाल्न एक लाख, शक्तिपुर प्रेम चौधरीको घर नजिक खानेपानी योजनामा ७५ हजार, मानबहादुर रोकायाको घरको बाटो ग्राबेलमा ७५ हजार, शान्तीपुर वडा नम्बर ७ जोड्ने बाटो निर्माणमा ७५ हजार खर्च भएको कागजमा देखाएपनि फिल्डमा काम नभएको कैलाशबहादुर बलायरले बताए। <strong>स्थानीयद्वारा वडा कार्यालय घेराउ </strong>नगरपालिका र वडा कार्यालयका जनप्रतिनिधीहरुले स्थानीयलाई जानकारी नै नगराई समिति गठन गरेर कागजी रुपमा काम समेत सम्पन्न गरेको देखाएपछि सोमबार स्थानीयले वडा नम्बर ८ को कार्यालय घेराउ गरेका छन्। उता कृष्णपुर नगरपालिका वडा नम्बर ८ का वडाअध्यक्ष अमरसिंह बडायकले पनि कतिपय सडकमा ग्रबेल हाल्ने काम सम्पन्न नभएको भन्ने गुनासो आएको बताएका छन्। ‘कतिपय सडकहरुमा कम ग्राबेल गयो भन्ने कुरा आएको छ। कति हाल्ने हो, कति गयो भन्ने विषयको अध्ययन प्राविधिकले गर्दछन्। सबै समस्याको समाधान गर्नतर्फ हामी लागेका छौं।’ वडाध्यक्ष बडायकले भने। रोशन भट्ट दिनेश खवरका संवाददाता हुन। उनले <span class=""_5yl5""><span>समसामयिक</span></span> विषयमा कलम चलाउछन्।",https://dineshkhabar.com/article/33125
"२०७७ साउन ५, ०७:१४",कैलालीमा दुई छोरीलाई बलात्कार गर्ने बुवा विरुद्ध मुद्दा दर्ता ,<strong>धनगढी : </strong>कैलालीमा दुई छोरीमाथि जबरजस्तीकरणी गर्ने बुवा विरुद्ध मुद्दा दर्ता गरिएको छ। घोडाघोडी नगरपालिकामा १४ र १६ वर्षीय छोरीलाई जबरजस्तीकरणी गर्ने बुवा विरुद्ध मुद्दा दर्ता गरिएको प्रहरीले जनाएको छ। जिल्ला प्रहरी कार्यालयका प्रवक्ता प्रहरी नायब उपरिक्षक प्रतिक विष्टले ईलाका प्रहरी कार्यालयमा आईतबार मुद्दा दर्ता भएको जानकारी दिए। उनका अनुसार उनी विरुद्ध जबरजस्तीकरणी र बाल यौन दुरुपयोगको मुद्दा दर्ता भएको हो। मुद्दा दर्ता भएसँगै प्रहरीले उनको खोजी सुरु गरेको छ। यसअघि बालिकाको संरक्षक नभएको भन्दै प्रहरीले मुद्दा दर्ता गर्न मानेको थिएन। तर आईतबार संरक्षक भेटिएपछि मुद्दा दर्ता भएको प्रहरीले जनाएको छ। अहिले पीडित बालिका ओरेक नेपालको जिम्मा लगाईएको छ भने बालिकाकी आमा केही वर्षदेखि वैदेशिक रोजगारीमा रहेकी छन्। ,https://dineshkhabar.com/article/33083
"२०७७ साउन १, ०९:१६",बैतडीमा बजेट विनियोजमा मनपरि गरेको भन्दै वडा कार्यालयमा ताला ,बैतडीको पञ्चेश्वर गाउँपालिकाले बजेट विनियोजनमा मनपरि गरेको भन्दै वडा कार्याल ताला लगाइएको छ। गाउँपालिकाको वडा नम्बर ४ को कार्यालयमा स्थानीयले ताला लगाएका हुन्। गाउँपालिकाको बजेटमा जनप्रतिनिधिले मनपरि गरेको उनीहरुको आरोप छ। गाउँपालिकाले आसेपासे र आफन्तलाई खुसी पार्न बजेट ल्याएको उनीहरुले आरोप लागएका छन्। नागरिक भेलाको समेत जनप्रतिनिधिले वास्ता नगरेको स्थानीय प्रकाश चन्दले बताए। ,https://dineshkhabar.com/article/32879
"२०७७ असार ३०, ०१:४७",कञ्चनपुरका किसान आन्दोलित ,<strong>कञ्चनपुर: </strong>भारतबाट मल ल्याउन पाउनुपर्ने माग राख्दै कञ्चनपुरका किसानहरु आन्दोलित भएका छन्। भीमदत्त नगरपालिका–१३ का किसानहरु खेतमा मलको अभाव भएपछि भारतबाट ल्याउन दिनुपर्ने माग राख्दै आन्दोलित हुन। मंगलबार बिहानदेखि झोलुंगे पुलमा ताला लगाएर स्थानीय किसानहरुले आन्दोलन गरिरहेका छन्। खेतमा हाल्नको लागि मलखाद नभएको र सरकारले अहिलेसम्म पनि कुनै व्यवस्था नगरेकोले आफूहरु आन्दोलन गर्न बाध्य भएको स्थानीय किसानहरुको गुनासो छ। असार २९ गतेसम्म प्रहरी र स्थानीयको सम्झौता अनुसार आधा कट्ठा युरिया मल ल्याउन पाउने भएपनि मंगलबार बिहानदेखि स्थानीय कृषकहरुलाई प्रहरीले मलखाद ल्याउन रोक लगाएपछि स्थानीयहरुले झोलुङ्गे पुलमा आवतजावत बन्द गरेका हुन्। अहिले प्रशासन र आन्दोलित किसान बीच समन्वयका लागि छलफल भइरहेको छ।,https://dineshkhabar.com/article/32693
"२०७७ असार २६, ०६:५०",धनगढीको कोब्रा बारमा बियरको बोतल प्रहार गर्ने एकजना पक्राउ ,धनगढी : धनगढीको कोब्रा बारमा बियरको बोतल प्रहार गर्ने एकजना पक्राउ परेका छन्। कैलालीको चुरे गाँउपालिका वडा नम्वर १ घर भई हाल धनगढी उपमहानगरपालिका वडा नम्वर १ बुद्धमार्गमा बस्द्रै आएका २१ बर्षीय गणेश सिंह भन्ने जेनसिंह ठकुरीलाई प्रहरीले पक्राउ गरेको हो। जिल्ला प्रहरी कार्यालयका अनुसार उनले चुरे गाउपालिका वडा नम्वर १ बस्ने भोज बहादुर बमलाई धनगढी उप–महानगरपालिका वडा नम्वर २ मिलनचोकस्थित किङ कोब्रा बारमा बियरको बोतलले टाउकोमा प्रहार गरेका थिए। उनले सोही बारमा भारतको लखिमपुर खिरी बस्ने सल्मान सेलमानी समेतलाई गालीगलौज तथा अभद्र व्यवहार गरेको समेत आरोप लागेको छ। उनीमाथि ज्यान मार्ने उद्योग र सार्वजनिक हित विरुद्ध कसुर अपराध मुद्दामा दर्ता भएको प्रहरी नायव उपरिक्षक प्रतिक विष्टले बताए। ,https://dineshkhabar.com/article/32443
"२०७७ असार २६, ०३:५१",कैलालीको पहलमानपुर–लालबोझी सडक खण्ड मर्मतको माग गर्दै प्रदर्शन ,<strong>प्रताप चौधरी/पहलमानपुर : </strong>कैलालीको पहलमानपुर–लालबोझी सडक खण्ड मर्मत सम्भारको माग गर्दै स्थानीयले प्रर्दशन गरेका छन्। घोडाघोडी नगरपालिका वडा नम्वर ११ को सिसैया चौकमा भेला भएका स्थानीयले सडक मर्मत सम्भारको माग गर्दै प्रर्दशन गरेका हुन्। उनीहरुले पहलमानपुर–लालबोझी सडक खण्डमा सवारी साधन चलाउन सकिने अवस्था नरहेकाले मर्मत सम्भारको माग गर्दै दबाब मुलक कार्यक्रम सहित प्रर्दशन गरेका हुन्। पहलमानपुर–लालबोझी सडक खण्ड हिलाम्य भएपछि स्थानीयले आवत जावतमा सास्ती भोग्नुपरेको छ। अहिले मोटरसाईकल र साईकल बाहेकका सवारी साधन समेत सञ्चालन हुन सकेका छैनन्। नगरपालिकाले ग्रावेलका लागि भन्दै पाँच लाख बजेट बिनियोजन गरेको थियो भने कालोपत्रेका लागि ३० लाखको टेण्डर हुने चर्चा भएपनि कुनै प्रक्रिया अगडि बढेको छैन्। पूर्वपश्चिम राजमार्गदेखि ५ सय मिटर मात्रै उक्त सडक कालोपत्रे भएको छ। कैलाली निर्वाचन क्षेत्र नम्बर ३ का प्रतिनिधि सभा सदस्य गौरीशंकर चौधरीले पनि उक्त सडकलाई चुनावी नारा बनाएका थिए। लालबोझी–पहलमानपुर सडकका स्तरोन्नतिका लागि भन्दै उनले बजेट समेत बिनियोजन गरेका थिए तर सडकको भने दुर्दशा छ। ,https://dineshkhabar.com/article/32425
"२०७७ असार २४, ०७:२८",डडेल्धुरामा हतौडा हानेर युवक मार्न खोज्ने पाँच जना पक्राउ ,"<strong>धनगढी: </strong>सोमबार डडेल्धुरामा एक युवकलाई कुटपिट गरी हत्या गर्ने प्रयास गरिएको छ। जिल्लाको गन्यापधुरा गाउँपालिका –२ मेलमुडा बस्ने ४५ वर्षीय तेजबहादुर बोहरालाई सोही ठाउँका पाँच जनाले कुटपिट गरी गम्भीर घाइते बनाएका छन्। प्रहरीले निज तेजबहादुरलाई सोमबार राति करिब साढे ९ बजेतिर ढुंगामुढा तथा हतौडा प्रहार गरेर कुटपिट गरेको आरोपमा वडा नम्बर २ कै ४७ वर्षीय भिमबहादुर बोहरा, २४ वर्षीय रमेश बोहरा, २२ वर्षीय भुवन बोहरा, २० वर्षीय केशव बोहरा र २१ वर्षीय सन्तोष बोहरालाई मंगलबार पक्राउ गरेको हो। उनीहरुले तेजबहादुरलाई कुटपिट गरी गम्भीर घाइते बनाएको जाहेरीका आधारमा पक्राउ गरिएको जिल्ला प्रहरी कार्यालय डडेल्धुराका प्रहरी नायव उपरीक्षक दधिराम न्यौपानेले बताए। पक्राउ परेका पाँचै जनामाथि ज्यान मार्ने उद्योगमा मुद्धा दर्ता भई थप अनुसन्धान भइरहेको डिएसपी न्यौपानेले बताए। ",https://dineshkhabar.com/article/32294
"२०७७ असार २४, ०३:५४",१६ वर्षीया किशोरी बलात्कार गर्ने पक्राउ ,गुल्मीमा १६ वर्षीया किशोरीलाई जवर्जस्ती करणी गरेको आरोपमा एक पुरुष पक्राउ परेका छन्। पक्राउ पर्नेमा सत्यवती गाउँपालिका–५ बस्ने ५५ वर्षीय पोम नारायण ढकाल छन्। यस सम्बन्धमा थप अनुसन्धान भइरहेको प्रहरीले जनाएको छ। ,https://dineshkhabar.com/article/32275
"२०७७ असार २३, ०१:०४",धनगढी बसपार्कमा अज्ञात समूहद्वारा बसमा आगजनी ,"धनगढी : धनगढी बसपार्कमा पार्किङ गरिएको एउटा बसमाथि अज्ञात समूहले आगजनी गरेको छ। धनगढी– बझाङ सञ्चालन गरिदै आएको ना ४ ख ९७४६ नम्वरको बसमाथि अज्ञात समूहले आगजनी गरेको सुदूरपश्चिम यातायातका बीमा संयोजक प्रकाश बमले जानकारी दिए। ‘गएराति बसमाथि आगजनी गरिएको छ,’ उनले भने, ‘आगजनी कस्ले ग¥यो भन्ने बारेमा केही खुलेको छैन्। दई वटा ब्याट्री समेत चोरी भएको छ।’ ",https://dineshkhabar.com/article/32195
"२०७७ असार १९, ०५:३९",खानेपानी विवादमा महिलामाथि खुकुरी प्रहार ,खानेपानीको विषयमा छिमेकीबीच विवाद हुँदा एक महिलामाथि खुकुरी प्रहार भएको छ। हुम्लाको सर्केगाड गाउँपालिका ४ सायामा खानेपानीको विषयमा भएको विवादमा खुकुरी प्रहारबाट कारण ४५ वर्षीया हजारी साउद गम्भीर घाइते भएकी छिन्। प्रहरीका अनुसार उनीमाथि स्थानीय नेत्र थापाले खुकुरी प्रहार गरेका हुन्। घाइते महिलाको साया स्वास्थ्यचौकीमा उपचार हुन नसकेपछि बाहिरका अस्पतालमा रेफर गरिएको छ। खुकुरी प्रहारका कारण टाउकोमा गम्भीर चोट लागेको रिवार स्रोतले जनाएको छ। यस्तै सो घटनामा सामान्य घाइते भएकी झला थापाको स्थानीय स्वास्थ्यचौकीमा उपचार भइरहेको छ। खुकुरी प्रहार गर्ने थापालाई पक्राउ गरिएको छ भने आवश्यक अनुसन्धान भइरहेको प्रहरीले जनाएको छ। ,https://dineshkhabar.com/article/31942
"२०७७ असार १९, ०८:०२",कैलालीका निजी विद्यालयले तलब नदिएको भन्दै शिक्षकहरु आन्दोलित ,<strong>धनगढी : </strong>कैलालीका निजी विद्यालयले तलब नदिएको भन्दै शिक्षकहरु आन्दोलित भएका छन्। कोरोना भाईरसको प्रभाव परेको तीन महिना भएपनि आफूहरुले ६ महिनादेखि तलब नपाएको भन्दै शिक्षकहरु आन्दोलित भएका हुन्। देशव्यापी विरोध गर्ने कार्यक्रम अन्तरगत आज पहिलो चरणमा धनगढीमा पनि प्रर्दशन गरेको संस्थागत विद्यालय शिक्षक युनियन कैलालीका अध्यक्ष शिवराज जोशीले बताए। कोरोना प्रभावका कारण विद्यालयहरु बन्द भएपनि लकडाउन अगाडीकै तलब समेत नपाएको उनले बताए। पहिलो दिन शान्तिपूर्ण प्रदर्शन गरेपनि माग सम्बोधन नभए थप आन्दोलन कार्यक्रम तय गर्ने संस्थागत विद्यालय शिक्षक युनियन कैलालीले जनाएको छ। ,https://dineshkhabar.com/article/31954
"२०७७ असार २२, ०७:४५",बैतडीको सिगास गाउँपालिका वडा नम्बर १ को कार्यालयमा तालाबन्दी ,<strong>बैतडी : </strong>विद्युत विस्तार सम्बन्धी विवाद हुँदा बैतडीको सिगास गाउँपालिका वडा नम्बर १ को कार्यालयमा तालाबन्दी गरिएको छ। विद्युत विस्तारको विषयलाई लिएर स्थानीयले तालाबन्दी गरेका हुन्। दुदिलाखानदेखि थडाकाडा रोड भएर विद्युत विस्तार गर्नुपर्ने स्थानीयको माग भएपनि वडाध्यक्षले अन्यत्रैबाट लाईन लैजान खोजेको भन्दै तालाबन्दी गरिएको हो। वडाध्यक्ष गगनसिंह धामीले भने स्थानीयकै माग अनुसार विद्युत विस्तार गर्न खोजेपनि बिना कारण अवरोध सिर्जना गरी तालाबन्दी गरिएको दावी गरेका छन्। उनले स्थानीयले विरोधका नाममा विरोध मात्र गरेको दावी समेत गरेका छन्। ,https://dineshkhabar.com/article/32108
"२०७७ असार २१, ०४:२१",कैलालीमा प्रधानमन्त्री ओलीको पक्षमा प्रदर्शन ,"<strong>धनगढी: </strong>प्रधानमन्त्री केपी शर्मा ओलीको पक्षमा कैलालीको टीकापुरमा प्रदर्शन भएको छ। भारतीय चलखेलमा नेपाल कम्युनिष्ट पार्टी (नेकपा)का नेताहरुबाटै केपी शर्मा ओली नेतृत्वको सरकारलाई ढाल्न खोजिएको भन्दै टीकापुरमा प्रदर्शन भएको हो। 'राष्ट्र नायक’ केपी ओली जिन्दावाद, भारतीय विस्तारवाद मुर्दावाद’, ‘अस्थिरता चाहिँदैन, सरकार ढाल्न पाइँदैन’ भन्दै युवा, विद्यार्थी र सर्वसाधारणहरूले प्रधानमन्त्री केपी ओली पक्षमा नारा लगाएका थिए। टीकापुरको खड्ग चोकबाट सुरु भएको र्‍याली नेपालको झण्डा सहित बजार परिक्रमा गरी अस्पताल रोड हुँदै खड्ग चोक पुगेर सभामा परिणत भएको थियो। प्रदर्शनमा नेकपानिकट विद्यार्थी र युवा बढी थिए।",https://dineshkhabar.com/article/32080
"२०७७ असार २१, ०६:१५",रक्सीले ‘झ्याप’ बनाएर युवती बलात्कार ,<strong>काठमाडौं:</strong> उपत्यकाको माकलबारीमा अन्दाजी ३० वर्षीया युवतीमाथि बलात्कार भएको छ। गएराति सिन्धुपाल्चोक घर भएका भुवन बिष्ट र दोलखा घर भएका पासाङ शेर्पा बलात्कारको आरोपमा पक्राउ परेका हुन्। गएराति युवतीसँगै उनीहरुले रक्सी खाएका थिए। रक्सीले आफूलाई झ्याप बनाएपछि उनीहरुले बलात्कार गरेको ती पीडित युवतीले प्रहरीसमक्ष बयान दिएकी छन्। पक्राउ परेका दुवै जनामाथि थप अनुसन्धान भइरहेको प्रहरीले जनाएको छ। ,https://dineshkhabar.com/article/32090
"२०७७ असार २१, ०९:१६",दिनेश खबरकर्मीमाथि हातपात गर्ने बावु छोरा पक्राउ ,"<strong>धनगढी : </strong>दिनेश खबरकर्मीमाथि हातपात गर्ने धनगढीका दुईजना पक्राउ परेका छन्। दिनेश सञ्चार गृहले सञ्चालन गरेको दिनेश खबर÷दिनेश एफएमका वरिष्ठ संवाददाता कमल सावदमाथि दुर्व्यवहार गरी हातपात गर्ने धनगढी उप–महानगरपालिका वडा नम्बर ५ का हर्कबहादुर देउवा र उनका छोरा ठक्करबहादुर देउवा पक्राउ परेका हुन्। उनीहरु दुवैजनाले आज दिउँसो सुदूरपश्चिम भूमि व्यवस्था कृषि तथा सहकारी मन्त्रालयमा पत्रकार सावदमाथि दुव्र्यवहार गर्दै हातपात गरेका थिए। दुवैजना विरुद्ध पत्रकार सावदले दर्ता गरेको सार्वजनिक हित समेतको विरुद्ध कसुर गरेको मुद्दामा अनुसन्धानका लागि पक्राउ गरिएको जिल्ला प्रहरी कार्यालयका प्रवक्ता प्रहरी नायब उपरिक्षक प्रतिक विष्टले बताए। यसअघि जिल्ला प्रहरी कार्यालयमा दिएको ठाडो निवेदनका आधारमा छलफलका लागि भन्दै आफै प्रहरी कार्यालयमा उपस्थित भएका बावु छोरालाई उजुरी दर्ता भएपछि प्रहरीले नियन्त्रणमा लिएको हो। कृषि मन्त्रालयबाट माछा पालनका लागि अनुदान लिएर पनि पोखरी निर्माण नगरेको विषयमा समाचार छापेर आफ्नोे बदनाम गरेको भन्दै बुवाछोराले पत्रकार सावदमाथि दुव्र्यवहार र हातपात गरेका थिए। ठक्कर देउवा कैलाली फुटबल संघका सदस्य समेत हुन्। उनका बुवा हर्क बहादुर देउवाले धनगढी उप–महानगरपालिका वडा नम्व्र ५ मा कृषि मन्त्रालयबाट माछा पालन गर्ने भन्दै एक लाख ४२ हजार ६ सय आठ रुपैँया अनुदान पाएका थिए। अनुदान पाएको एक बर्ष भएपनि अहिलेसम्म वडा नम्वर ५ मा माछापालन सुरु भएको छैन् भने पोखरी समेत निर्माण गरिएको छैन्। यसैबीच उनीहरुलाई प्रहरीले नियन्त्रणमा लिनु अघि समाचार लेखेकै भरमा पत्रकारमाथि दुव्र्यवहार र हातपात गरी ज्यान मार्ने धम्की दिएको घटनाप्रती ध्यानाकर्षण भएको भन्दै पत्रकारहरुको टोली जिल्ला प्रहरी कार्यालयमा पुगेको थियो। नेपाल पत्रकार महासंघका सुदूरपश्चिम अध्यक्ष अर्जुनबहादुर शाह, महासचिव योगेश रावल, पत्रकार महासंघका पूर्व केन्द्रीय सदस्य दिलबहादुर छत्याल, कैलाली जिल्ला शाखाका कोषाध्यक्ष हिमाल जोशी, प्रेस युनियन कैलाली शाखाका अध्यक्ष श्रवण देउवा लगायतका पत्रकारको टोलीले दोषीलाई कानून अनुसार कारवाही हुनुपर्ने भन्दै कैलाली प्रहरीको ध्यानाकर्षण गराएका थिए। कैलालीका प्रमुख प्रहरी उपरिक्षक अनुपम शमशेर जबराले घटनाको अनुसन्धान गरी दोषीलाई कानून अनुसार कारवाही गर्ने प्रतिबद्धता जनाएका छन्। ",https://dineshkhabar.com/article/32102
